Year,M,D,H,M,S,alpha,dec
[1900],[9],[26],[0],[0],[0.00],[16.5919402295],[-22.013491483]
[1900],[9],[27],[0],[0],[0.00],[16.5943322113],[-22.011260845]
[1900],[9],[28],[0],[0],[0.00],[16.5972408798],[-22.016700494]
[1900],[9],[29],[0],[0],[0.00],[16.5996915013],[-22.028930861]
[1900],[9],[30],[0],[0],[0.00],[16.6016812235],[-22.034453362]
[1900],[10],[1],[0],[0],[0.00],[16.6041689171],[-22.032625480]
[1900],[10],[2],[0],[0],[0.00],[16.6072752925],[-22.036864869]
[1900],[10],[3],[0],[0],[0.00],[16.6100408790],[-22.049291274]
[1900],[10],[4],[0],[0],[0.00],[16.6122527140],[-22.056708765]
[1900],[10],[5],[0],[0],[0.00],[16.6148306374],[-22.055598585]
[1900],[10],[6],[0],[0],[0.00],[16.6181006917],[-22.058673663]
[1900],[10],[7],[0],[0],[0.00],[16.6211660229],[-22.070933561]
[1900],[10],[8],[0],[0],[0.00],[16.6236133956],[-22.080122202]
[1900],[10],[9],[0],[0],[0.00],[16.6262808991],[-22.080021322]
[1900],[10],[10],[0],[0],[0.00],[16.6296825674],[-22.082042961]
[1900],[10],[11],[0],[0],[0.00],[16.6330274844],[-22.093801161]
[1900],[10],[12],[0],[0],[0.00],[16.6357223332],[-22.104568709]
[1900],[10],[13],[0],[0],[0.00],[16.6384842846],[-22.105736042]
[1900],[10],[14],[0],[0],[0.00],[16.6419891149],[-22.106878925]
[1900],[10],[15],[0],[0],[0.00],[16.6455897338],[-22.117838422]
[1900],[10],[16],[0],[0],[0.00],[16.6485413087],[-22.129930060]
[1900],[10],[17],[0],[0],[0.00],[16.6514064371],[-22.132572897]
[1900],[10],[18],[0],[0],[0.00],[16.6549892002],[-22.133064517]
[1900],[10],[19],[0],[0],[0.00],[16.6588169399],[-22.142978819]
[1900],[10],[20],[0],[0],[0.00],[16.6620293737],[-22.156094486]
[1900],[10],[21],[0],[0],[0.00],[16.6650080993],[-22.160360241]
