Time,Alpha_1,Delta_1,Alpha_2,Delta_2,RA_Residual,Dec_Residual
1987-03-26,17.7731914073,-23.538333599,17.7731915243,-23.538335028,0.00579229867578632,-0.00514439999079741
1987-03-27,17.7736348159,-23.532697134,17.7736349679,-23.532697735,0.00752536018698309,-0.0021635999999602973
1987-03-28,17.7742793456,-23.529250409,17.7742796132,-23.529251155,0.013248941577450045,-0.002685600004781463
1987-03-29,17.7749500806,-23.529897448,17.7749503778,-23.529899521,0.014714372417549608,-0.007462800003565917
1987-03-30,17.7754257474,-23.534515606,17.7754259407,-23.534518068,0.009569947363498928,-0.00886320000432761
1987-03-31,17.7755483011,-23.540978513,17.7755484112,-23.540979558,0.005450592018654014,-0.003762000004314814
1987-04-01,17.7753044289,-23.546197821,17.7753045763,-23.546197659,0.007296869956807871,0.0005831999970951074
1987-04-02,17.7748339714,-23.547694334,17.7748341688,-23.547694745,0.009771951892351404,-0.0014796000073147297
1987-04-03,17.7743583833,-23.544860678,17.7743585416,-23.544862061,0.00783654174871427,-0.004978800002675143
1987-04-04,17.7740685105,-23.539243120,17.7740686326,-23.539244157,0.006044741625064951,-0.003733200001931891
1987-04-05,17.7740309364,-23.533744237,17.7740311414,-23.533744587,0.010149253516984017,-0.0012600000019347135
1987-04-06,17.7741568983,-23.531193018,17.7741572195,-23.531194172,0.01590245596960329,-0.004154399998412828
1987-04-07,17.7742455253,-23.532965139,17.7742458264,-23.532967839,0.014907113958404994,-0.009719999998480944
1987-04-08,17.7740816349,-23.538284904,17.7740818047,-23.538287518,0.008406262278216056,-0.009410399998444063
1987-04-09,17.7735436925,-23.544574140,17.7735438100,-23.544575013,0.005816776151310648,-0.003142799991451284
1987-04-10,17.7726672858,-23.548739069,17.7726674798,-23.548739169,0.00960356433260362,-0.00036000000420699507
1987-04-11,17.7716277737,-23.548747571,17.7716280124,-23.548748929,0.011816343712319415,-0.00488879999522851
1987-04-12,17.7706508516,-23.544647476,17.7706510206,-23.544649959,0.008366252025138556,-0.008938799997793012
1987-04-13,17.7698997620,-23.538515360,17.7698998866,-23.538517219,0.006168542065554762,-0.006692399990981812
1987-04-14,17.7693960079,-23.533414818,17.7693962257,-23.533415898,0.010782990059690682,-0.0038880000019503314
1987-04-15,17.7690094068,-23.531896234,17.7690097283,-23.531898231,0.015917223664413525,-0.007189199993717921
1987-04-16,17.7685210899,-23.534737721,17.7685213592,-23.534741021,0.013332553025528956,-0.011879999998143376
1987-04-17,17.7677314906,-23.540528898,17.7677316267,-23.540531551,0.006737766769060054,-0.009550799997271042
1987-04-18,17.7665618442,-23.546349846,17.7665619582,-23.546350659,0.005643434163048403,-0.0029268000119486715
1987-04-19,17.7650956776,-23.549246420,17.7650958735,-23.549246900,0.00969758253068626,-0.0017280000022878994
1987-04-20,17.7635363629,-23.547731778,17.7635365729,-23.547733600,0.010395690773741924,-0.006559200005540333
1987-04-21,17.7621039036,-23.542518001,17.7621040392,-23.542520403,0.006712912145019233,-0.008647199999245458
1987-04-22,17.7609260250,-23.536133928,17.7609261598,-23.536135407,0.0066736318647054585,-0.005324399992900908
1987-04-23,17.7599767381,-23.531670387,17.7599769921,-23.531671535,0.01257537090651248,-0.004132800009415405
1987-04-24,17.7590892214,-23.531268901,17.7590895426,-23.531271356,0.01590244679821947,-0.008838000002242552
1987-04-25,17.7580368757,-23.535054079,17.7580371018,-23.535057418,0.011193772551093857,-0.012020400009760124
1987-04-26,17.7566461364,-23.541037361,17.7566462469,-23.541039456,0.0054703919049271885,-0.007541999997329185
1987-04-27,17.7548857093,-23.546095538,17.7548858414,-23.546095980,0.006539465740273744,-0.001591200003758786
1987-04-28,17.7528838615,-23.547556498,17.7528840713,-23.547557208,0.010385803785765714,-0.0025560000068480804
1987-04-29,17.7508630637,-23.544553392,17.7508632539,-23.544555386,0.009415753187381647,-0.007178399992824325
