planet,file,dates,lines(txt),total(html),total(html)-lines(txt),type,observatory
J,jg0034,"1974-1978, 2004",875,875,0,relative,84 - Pulkovo
J,jg0035,2009-2009,86,86,0,relative,see observatories list with the coordinates; in the relevant article.
J,jg0036,2009-2009,10,10,0,relative,see observatories list with the coordinates; in the relevant article.
J,jg0037,2002-2010,526,526,0,relative,286 - Yunnan Observatory
J,jg0038,2009-2009,354,354,0,relative,see observatories coordinates below.
J,jg0039,2009-2009,14,14,0,relative,see observatories coordinates below.
J,jg0040,2000-2012,1847,1847,0,absolute,689 - Flagstaff
J,jg0041,2013-2015,330,330,0,absolute,689 - Flagstaff
J,jg0042,2002-2002,9,9,0,absolute,"673-Table Mountain Observatory, Wrightwood, California"
J,jg0043,1967-1998,3782,3782,0,absolute,"786 - U.S. Naval Obs., Washington (since 1893)"
J,jg0044,2009-2011,140,140,0,absolute,084 - Pulkovo
J,jg0045,2013-2015,154,154,0,absolute,084 - Pulkovo
J,jg0046,1987-1987,9,9,0,absolute,286 - Yunnan Observatory
J,jg0047,2014-2015,554,554,0,relative,see observatories coordinates below.
J,jg0048,2014-2015,55,55,0,relative,see observatories coordinates below.
J,jg0049,2014-2015,27,27,0,relative,"220 - Vainu Bappu Observatory, Kavalur"
J,jg0050,2016-2018,104,104,0,relative-APPROX,IAU-874 OPD - Itajuba/MG-Brazil; IAU-X57 FOZ - Foz do Iguacu/PR-Brazi; FEG - Guaratinguet ́a/SP-Brazil; GOA - Vitoria/ES-Brazil; UTF - Curitiba/PR-Brazil; IAU-511 OHP - Haute de Province/France
J,jg0051,2014-2015,36,36,0,relative-APPROX,IAU-874 OPD - Itajuba/MG-Brazil
J,jg0052,1990-1993,64,64,0,relative,248 - Hipparcos
J,jg0053,1990-1993,29,29,0,absolute,248 - Hipparcos
J,jg0054,2016-2017,761,761,0,absolute,084 - Pulkovo
J,jg0055,2016-2017,854,854,0,relative,084 - Pulkovo
J,jg0056,2013-2015,148,148,0,relative,084 - Pulkovo
J,jg0057,2009-2015,53,53,0,relative,see observatories coordinates below.
J,jg0058,2014-2015,2,2,0,relative,see observatories coordinates below.
J,jg0059,2018,452,452,0,absolute,084 - Pulkovo
J,jg0060,2018,671,671,0,relative,084 - Pulkovo
J,jg0061,2014-2015,47,47,0,relative,see observatories coordinates below.
